date,provider,draw_info,1st,2nd,3rd,special,consolation
2015-01-03,https://www.live4d2u.net/images/magnum,4D Jackpot,395/15,03-01-2015 (Sat) Draw No: 395/15,1st Prize 首獎 4529 | 2nd Prize 二獎 7748 | 3rd Prize 三獎 4112 | ,6220 4501 ---- 6383 2000 5751 5408 ---- ---- 4073 9642 4708 1750,3721 8811 7742 7111 3712 1614 3976 7506 1421 8382,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
2015-01-03,https://www.live4d2u.net/images/damacai,4D Jackpot 3D,4119/15,03-01-2015 (Sat) Draw No: 4119/15,1st Prize 首獎 1303 | 2nd Prize 二獎 9290 | 3rd Prize 三獎 1834 | ,3335 4860 8325 7813 7396 3595 1643 7673 0705 2657,9833 7606 9424 6302 3852 8041 5171 3839 1951 6952,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 137,374.70Won | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 137,374.70Won"
